,B i l a n g a n,B a h a s a   S i n o - K o r e a,B a h a s a   K o r e a   a s l i,R o m a n i s a s i   ( S i n o - K o r e a ),R o m a n i s a s i   ( K o r e a   a s l i ),B a h a s a   I n d o n e s i a
0,0,영/공,,yeong/gong,,nol
1,1,일,하나,il,hana,satu
2,2,이,둘,i,dul,dua
3,3,삼,셋,sam,set,tiga
4,4,사,넷,sa,net,empat
5,5,오,다섯,o,daseot,lima
6,6,육,여섯,yuk,yeoseot,enam
7,7,칠,일곱,chil,ilgob,tujuh
8,8,팔,여덟,phal,yeodeol,delapan
9,9,구,아홉,gu,ahob,sembilan
10,10,십,열,ship,yeol,sepuluh
11,20,이십,,eeship,,dua puluh
12,30,삼십,,samship,,tiga puluh
13,40,사십,,saship,,empat puluh
14,50,오십,,oship,,lima puluh
15,60,육십,,yukship,,enam puluh
16,70,칠십,,chilship,,tujuh puluh
17,80,팔십,,palship,,delapan puluh
18,90,구십,,goship,,sembilan puluh
19,100,백,,baek,,seratus
20,1.000,천,,cheon,,seribu
21,10.000,만,,man,,sepuluh ribu
22,100.000,십만,,shipman,,seratus ribu
23,1.000.000,백만,,baekman,,satu juta
24,1.000.000.000,십억,,shipeok,,satu miliar
25,1.000.000.000.000,조,,jo,,satu triliun
