,J a b a t a n   p a r t a i   p o l i t i k,J a b a t a n   p a r t a i   p o l i t i k . 1,J a b a t a n   p a r t a i   p o l i t i k . 2
0,Didahului oleh:Yiannakis Matsis,Ketua Reli Demokrat1997–2013,Diteruskan oleh:TBD
1,Jabatan politik,Jabatan politik,Jabatan politik
2,Didahului oleh:Demetris Christofias,Presiden Siprus2013–2023,Petahana
