,B i o m o n o m e r,B i o - o l i g o,B i o p o l i m e r,P r o s e s   p o l i m e r i s a s i,N a m a   i k a t a n   k o v a l e n   d i   a n t a r a   m o n o m e r
0,Monosakarida,Oligosakarida,Polisakarida (selulosa...),Polikondensasi,Ikatan glikosidik
1,Asam amino,Oligopeptida,"Polipeptida, protein (hemoglobin...)",Polikondensasi,Ikatan peptida
2,Nukleotida,Oligonukleotida,"Polinukleotida, asam nukleat (DNA, RNA)",,Ikatan fosfodiester
3,Isoprena,Terpena,"Politerpena: karet alami cis-1,4-poliisoprena dan getah perca trans-1,4-poliisoprena",Poliadisi,
