,J a b a t a n   p o l i t i k,J a b a t a n   p o l i t i k . 1,J a b a t a n   p o l i t i k . 2
0,Didahului oleh:Sir Richard Wingfield,Kanselir Kadipaten Lancaster1525–1529,Diteruskan oleh:Sir William FitzWilliam
1,Didahului oleh:Sir Thomas Neville,Ketua Dewan Rakyat1523,Diteruskan oleh:Sir Thomas Audley
2,Didahului oleh:Thomas Wolsey,Tuan Kanselir1529–1532,Diteruskan oleh:Sir Thomas Audley
