,M a t e r i a l,ρ   d a l a m   k g / m 3,C a t a t a n
0,Medium antarbintang,10−25 − 10−15,"Mendekati 90% H, 10% He; variabel T"
1,Atmosfer Bumi,1.2,Pada permukaan laut
2,Aerogel,1 − 2,
3,Styrofoam,30 − 120,[1]
4,Gabus,220 − 260,[1]
5,Air,1000,Pada kondisi standar untuk suhu dan tekanan
6,Plastik,850 − 1400,Untuk polipropilena dan PETE/PVC
7,Bumi,5515.3,Rata-rata keseluruhan
8,Tembaga,8920 − 8960,Mendekati suhu ruangan
9,Timah,11340,Mendekati suhu ruangan
10,Inti Perut Bumi,~13000,Seperti yang tercantum dalam bumi
11,Uranium,19100,Mendekati suhu ruangan
12,Iridium,22500,Mendekati suhu ruangan
13,Inti Matahari,~150000,
14,Inti Atom,~3 × 1017,Seperti yang tercantum dalam neutron star
15,Bintang neutron,8.4 × 1016 − 1 × 1018,
16,Lubang hitam,1018 − Tak Terhingga,
