,K e l o m p o k,P e n u t u r   B a h a s a   I n g g r i s [ 9 ] : 2 6,%   d a r i   p o p u l a s i [ 9 ] : 2 7,%   t o t a l   p e n u t u r   B a h a s a   I n g g r i s
0,Kulit Hitam,1167913,2.9,23.9
1,Berwarna,945847,20.8,19.3
2,Orang India atau Asia,1094317,86.1,22.4
3,Putih,1603575,35.9,32.8
4,Lainnya,80971,29.5,1.7
5,Total,4892623,9.6,100.0
