,D w i - b i b i r,R o n g g a - g i g i,l a n g i t - l a n g i t,l a n g . b e l .,C e l a h - s u a r a
0,m 〈m〉,n 〈n〉,ɲ 〈ny〉,ŋ 〈ng〉,
1,p 〈p〉,t 〈t〉,tʃ 〈c〉,k 〈k〉,ʔ 〈'〉
2,b 〈b〉,d 〈d〉,dʒ 〈j〉,ɡ 〈g〉,
3,,s 〈s〉,,,h 〈h〉
4,,l 〈l〉,,,
5,,r 〈r〉,,,
6,w 〈w〉,,j 〈y〉,,
