,T i t i k   k o d e,T i t i k   k o d e . 1,H u r u f   b e s a r U,H u r u f   k e c i l u
0,Unicode,Unicode,U+0055,U+0075
1,ASCII,Desimal,85,117
2,ASCII,Biner,01010101,01110101
3,EBCDIC,EBCDIC,228,164
