,0,1,2,3
0,,Meninggal,Terluka,Total
1,Total Sekutu,44092,96937,141029
2,- Inggris Raya,21255,52230,73485
3,- Prancis (perkiraan),10000,17000,27000
4,- Australia,8709,19441,28150
5,- Selandia Baru,2721,4752,7473
6,- India,1358,3421,4779
7,- Newfoundland,49,93,142
8,Kerajaan Ottoman (perkiraan),86692,164617,251309
9,Total (keduabelah pihak),130784,237290,336048
