,P e r i n g k a t,N e g a r a,E m a s,P e r a k,P e r u n g g u,T o t a l
0,1,Britania Raya*[a],56,51,39,146
1,2,Amerika Serikat,23,12,12,47
2,3,Swedia,8,6,11,25
3,4,Prancis,5,5,9,19
4,5,Jerman,3,5,5,13
5,6,Hongaria,3,4,2,9
6,7,Kanada,3,3,10,16
7,8,Norwegia,2,3,3,8
8,9,Italia,2,2,0,4
9,10,Belgia,1,5,2,8
10,11–19,Lainnya,4,11,14,29
11,Total (19 negara),Total (19 negara),110,107,107,324
