,T a h u n,J u d u l,P e r a n,K e t e r a n g a n
0,1984,Secangkir Kopi Pahit,Gunawan,
1,1984,Doea Tanda Mata,,
2,2004,Issue,Arya Team,
3,2005,Dealova,,
4,2006,Roh: The Evil Spirit,Pak Purbo,
5,2010,"3 Hati Dua Dunia, Satu Cinta",Said,
6,2011,Sang Penari,Sersan Pujo,
