,L a b i a l,A l v e o l a r,P a l a t a l,V e l a r,G l o t t a l
0,p,t,,k,(ʔ)
1,b,d,,ɡ,
2,m,n,,(ŋ),
3,f,s,,,
4,,ɾ,,,
5,,l,,,
6,w,,j,,
