,N o .,N a m a,M e n g a m b i l   j a b a t a n,M e n i n g g a l k a n   j a b a t a n,C a t a t a n
0,1.0,Sir Charles Noble Arden-Clarke,26 Oktober 1946,26 Juli 1949,Gubernur Koloni Mahkota Sarawak Pertama
1,2.0,Sir Duncan George Stewart,14 November 1949,10 Desember 1949,Dibunuh oleh Rosli Dhobi ketika berkunjung ke Sibu pada 3 Desember 1949
2,3.0,Sir Anthony Foster Abell,4 April 1950,15 November 1959,"Aslinya dilantik untuk masa jabatan selama 3 tahun saja, namun masa jabatannya diperpanjang sampai 1959. Ia kemudian menjadi salah satu anggota Komisi Cobbold."
3,4.0,Sir Alexander Waddell,23 Februari 1960,22 Juli 1963,Gubernur Sarawak terakhir.
