,D w i - b i b i r,G i g i,R o n g g a - g i g i,P a s k . - r o n g g i . / l a n g i t - l a n g i t,l a n g . - b e l a k a n g,C e l a h - s u a r a
0,m,,n,ɲ,ŋ,
1,p,,t,t͡ʃ,k,(ʔ)
2,b,,d,d͡ʒ,ɡ,
3,(f),(θ),s,(ʃ),(x),h
4,(v),(ð),(z),,(ɣ),
5,,,l,j,w,
6,,,r,,,
