,I P A,P e n j e l a s a n,C o n t o h,C o n t o h,C o n t o h,C o n t o h
0,,Konsonan letup celah-suara,Bahasa Hawaii,‘okina,[ʔo.ˈki.na],Okina
1,,"""Frikatif"" glotis bersuara",Bahasa Ceko,Praha,[ˈpra.ɦa],Praha
2,,Konsonan geser hulu celah-suara nirsuara,Bahasa Inggris,hat,[ˈhæt],topi
