,J u m l a h   k e n d a r a a n   t e r e g i s t r a s i 1 9 6 0 - 2 0 0 9   ( d a l a m   r i b u a n ) [ 7 ],J u m l a h   k e n d a r a a n   t e r e g i s t r a s i 1 9 6 0 - 2 0 0 9   ( d a l a m   r i b u a n ) [ 7 ],J u m l a h   k e n d a r a a n   t e r e g i s t r a s i 1 9 6 0 - 2 0 0 9   ( d a l a m   r i b u a n ) [ 7 ],J u m l a h   k e n d a r a a n   t e r e g i s t r a s i 1 9 6 0 - 2 0 0 9   ( d a l a m   r i b u a n ) [ 7 ],J u m l a h   k e n d a r a a n   t e r e g i s t r a s i 1 9 6 0 - 2 0 0 9   ( d a l a m   r i b u a n ) [ 7 ],J u m l a h   k e n d a r a a n   t e r e g i s t r a s i 1 9 6 0 - 2 0 0 9   ( d a l a m   r i b u a n ) [ 7 ],J u m l a h   k e n d a r a a n   t e r e g i s t r a s i 1 9 6 0 - 2 0 0 9   ( d a l a m   r i b u a n ) [ 7 ],J u m l a h   k e n d a r a a n   t e r e g i s t r a s i 1 9 6 0 - 2 0 0 9   ( d a l a m   r i b u a n ) [ 7 ]
0,Mobil(1),98.305,193.479,320.390,444.900,548.558,617.914,681.154
1,Truk dan bus registrations,28.583,52.899,90.592,138.082,203.272,245.798,284.101
2,Total,126.888,246.378,410.982,582.982,751.830,863.712,965.255
3,"Catatan:(1) Registrasi mobil tidak termasuk dengan truk ringan di A.S. (SUV, minivan, dan pikap) yang digunakan sebagai kendaraan pribadi. Kendaraan ini terhitung sebagai truk.","Catatan:(1) Registrasi mobil tidak termasuk dengan truk ringan di A.S. (SUV, minivan, dan pikap) yang digunakan sebagai kendaraan pribadi. Kendaraan ini terhitung sebagai truk.","Catatan:(1) Registrasi mobil tidak termasuk dengan truk ringan di A.S. (SUV, minivan, dan pikap) yang digunakan sebagai kendaraan pribadi. Kendaraan ini terhitung sebagai truk.","Catatan:(1) Registrasi mobil tidak termasuk dengan truk ringan di A.S. (SUV, minivan, dan pikap) yang digunakan sebagai kendaraan pribadi. Kendaraan ini terhitung sebagai truk.","Catatan:(1) Registrasi mobil tidak termasuk dengan truk ringan di A.S. (SUV, minivan, dan pikap) yang digunakan sebagai kendaraan pribadi. Kendaraan ini terhitung sebagai truk.","Catatan:(1) Registrasi mobil tidak termasuk dengan truk ringan di A.S. (SUV, minivan, dan pikap) yang digunakan sebagai kendaraan pribadi. Kendaraan ini terhitung sebagai truk.","Catatan:(1) Registrasi mobil tidak termasuk dengan truk ringan di A.S. (SUV, minivan, dan pikap) yang digunakan sebagai kendaraan pribadi. Kendaraan ini terhitung sebagai truk.","Catatan:(1) Registrasi mobil tidak termasuk dengan truk ringan di A.S. (SUV, minivan, dan pikap) yang digunakan sebagai kendaraan pribadi. Kendaraan ini terhitung sebagai truk."
