,B a h a s a,K a t a,I P A,A r t i
0,Adyghe,зы,[ˈzə],"""satu"""
1,Albania,zjarr,[zjar],"""api"""
2,Arab,زائِر,[ˈzaːʔir],"""pengunjung"""
3,Belanda,zee,[zeː],"""laut"""
4,Georgia,ზარი,[ˈzɑɾi],"""bel"""
5,Hindi,ज़मीन,[zəmiːn],"""tanah"""
6,Inggris,zoo,[zu:],"""kebun binatang"""
7,Jepang,全部 zenbu,[zembɯ],"""semua"""
8,Yunani,ζάλη záli,[ˈz̻ali],"""pusing"""
