,T i t i k   k o d e,T i t i k   k o d e . 1,H u r u f   b e s a r G,H u r u f   k e c i l g
0,Unicode,Unicode,U+0047,U+0067
1,ASCII,Desimal,71,103
2,ASCII,Biner,01000111,01100111
3,EBCDIC,EBCDIC,199,135
