,K a r a k t e r,K o d e   j e n d e l a   k o d e   l a m a n,K o d e   C P 8 5 0
0,ä,Alt+0228,Alt+132
1,ë,Alt+0235,Alt+137
2,ï,Alt+0239,Alt+139
3,ö,Alt+0246,Alt+148
4,ü,Alt+0252,Alt+129
5,ÿ,Alt+0255,Alt+152
6,Ä,Alt+0196,Alt+142
7,Ë,Alt+0203,Alt+211
8,Ï,"Alt+0207, Alt+02255",Alt+651
9,Ö,Alt+0214,Alt+153
10,Ü,Alt+0220,Alt+154
11,Ÿ,Alt+0159,
