,K o t a,P o p u l a s i   k o t a ( p e r k i r a a n   2 0 0 8 ) [ 4 8 ],P o p u l a s i   m e t r o ( p e r k i r a a n   2 0 0 8 ) [ 4 8 ]
0,Dhaka,7.000.940,12.797.394
1,Chittagong,2.579.107,3.858.093
2,Khulna,855.650,1.388.425
3,Rajshahi,472.775,775.495
4,Sylhet,463.198,-
5,Barisal,210.374,-
6,Rangpur,251.699,-
