,P e r i n g k a t,B a n d a r a,L o k a s i,K o d e ( I A T A / I C A O ),T o t a l P e n u m p a n g,P e r i n g k a t   b u l a n a n P e r u b a h a n,% P e r u b a h a n
0,1.0,London Heathrow Airport,"Hillingdon, Greater London, England, United Kingdom",LHR/EGLL,64 687 737,,6.2%
1,2.0,Paris Charles de Gaulle Airport,"Roissy-en-France, Val d'Oise, Île-de-France, France",CDG/LFPG,55 674 880,,4.8%
2,3.0,Hong Kong International Airport,"Chek Lap Kok, New Territories, Hong Kong",HKG/VHHH,53 314 213,,5.9%
3,4.0,Dubai International Airport,"Garhoud, Dubai, United Arab Emirates",DXB/OMDB,50 192 013,1,8.4%
4,5.0,Amsterdam Airport Schiphol,"Haarlemmermeer, North Holland, Netherlands",AMS/EHAM,49 680 283,1,10.1%
5,6.0,Frankfurt Airport,"Flughafen (Frankfurt am Main), Frankfurt, Hesse, Germany",FRA/EDDF,49 477 184,2,6.9%
6,7.0,Singapore Changi Airport,"Changi, East Region, Singapore",SIN/WSSS,45 429 263,,11.0%
7,8.0,Suvarnabhumi Airport,"Racha Thewa, Bang Phli, Samut Prakan, Greater Bangkok, Thailand",BKK/VTBS,35 009 002,3,11.4%
8,9.0,Incheon International Airport,"Jung-gu, Incheon, Sudogwon, South Korea",ICN/RKSI,34 537 845,1,4.8%
9,10.0,Madrid-Barajas Airport,"Madrid, Comunidad de Madrid, Spain",MAD/LEMD,32 449 857,,4.7%
10,11.0,London Gatwick Airport,"Crawley, West Sussex, South East England, England, United Kingdom",LGW/EGKK,29 923 391,1,7.5%
11,12.0,Munich Airport,"Oberding/Hallbergmoos/Marzling, Erding/Freising, Bavaria, Germany",MUC/EDDM,27 879 045,1,10.1%
12,13.0,Narita International Airport,"Narita, Chiba, Kantō, Honshū, Japan",NRT/RJAA,26 331 010,4,18.1%
13,14.0,Kuala Lumpur International Airport,"Sepang, Selangor, Malaysia",KUL/WMKK,25 915 723,4,10.7%
14,15.0,Leonardo da Vinci Airport,"Fiumicino, Rome, Italy",FCO/LIRF,24 448 925,,5.0%
15,16.0,John F. Kennedy International Airport,"Queens, New York City, New York, United States",JFK/KJFK,24 164 827,,4.6%
16,17.0,Atatürk International Airport,"Yeşilköy, Bakırköy, Istanbul, Turkey",IST/LTBA,24 048 585,,32.2%
17,18.0,Zürich Airport,"Rümlang/Oberglatt, Bülach/Dielsdorf, Zürich, Switzerland",ZRH/LSZH,23 628 718,1,6.6%
18,19.0,Taoyuan International Airport,"Dayuan, Taoyuan, Taiwan, Republic of China",TPE/RCTP,23 137 062,5,0.0%
19,20.0,Barcelona Airport,"El Prat de Llobregat, Barcelona, Catalonia, Spain",BCN/LEBL,21 663 602,6,23.5%
20,21.0,Antalya Airport,"Antalya, Turkey",AYT/LTAI,20 555 170,2,13.6%
21,22.0,Vienna Airport,"Vienna, Austria",VIE/LOWW,20 398 766,NEW,8.0%
22,23.0,Toronto Pearson International Airport,"Mississauga, Ontario, Canada",YYZ/CYYZ,20 355 771,3,6.0%
23,24.0,Copenhagen Airport,"Denmark, Tårnby, Hovedstaden, Denmark",CPH/EKCH,20 233 904,3,6.7%
24,25.0,Dublin Airport,"Dublin, Leinster, Republic of Ireland",DUB/EIDW,18 607 651,1,3.1%
25,26.0,Brussels Airport,"Zaventem, Flemish Brabant, Flanders, Belgium",BRU/EBBR,18 590 891,3,9.6%
26,27.0,Miami International Airport,"Miami-Dade County, Florida, United States",MIA/KMIA,18 417 513,1,9.0%
27,28.0,Doha International Airport,"Doha, Qatar",DOH/OTBD,18 108 521,NEW,15.2%
28,29.0,Malpensa Airport,"Somma Lombardo, Varese, Lombardy, Italy",MXP/LIMC,17 551 677,4,1.3%
29,30.0,Manchester Airport,"Manchester, Greater Manchester, United Kingdom",MAN/EGCC,16 605 737,NEW,7.7%
