,A g a m a,P e r s e n t a s e
0,Kristen,73.7
1,Protestan/Kristen aliran lain,48.9
2,Katolik Roma,23.0
3,Mormon,1.8
4,Atheis/Agnostik,18.2
5,Non-Kristen,5.4
6,Yahudi,2.1
7,Islam,0.8
8,Kelompok non-Kristen lainnya,2.5
9,Tidak menjawab,2.6
10,Total,100.0
