,N a m a,W a k t u,K e t e r a n g a n
0,Mentuhotep I,2134 SM – ??,"Tepy-a ""nenek moyang"""
1,Sehertawy Intef I,?? – 2118 SM,-
2,Wahankh Intef II,2118 SM – 2069 SM,-
3,Nakhtnebtepnefer Intef III,2069 SM – 2061 SM,-
4,Nebhetepra Mentuhotep II,2061 SM – 2010 SM,-
5,Sankhkara Mentuhotep III,2010 SM – 1998 SM,-
6,Nebtawyra Mentuhotep IV,1998 SM – 1991 SM,-
