,N a m a   B u l a n,J e p a n g,I n d o n e s i a
0,Ichigatsu,1月 (一月),Januari
1,Nigatsu,2月 (二月),Februari
2,Sangatsu,3月 (三月),Maret
3,Shigatsu,4月 (四月),April
4,Gogatsu,5月 (五月),Mei
5,Rokugatsu,6月 (六月),Juni
6,Sichigatsu,7月 (七月),Juli
7,Hachigatsu,8月 (八月),Agustus
8,Kugatsu,9月 (九月),September
9,Jugatsu,10月 (十月),Oktober
10,Juichigatsu,11月 (十一月),November
11,Junigatsu,12月 (十二月),Desember
