,0,1,2,3
0,Didahului oleh:Hubert Lazzarini,Anggota Werriwa1952–1978,Diteruskan oleh:John Kerin,
1,Didahului oleh:{{{before1}}},Wakil Pemimpin Partai Buruh1960–1967,Diikuti oleh:Lance Barnard,
2,Didahului oleh:{{{before1}}},Pemimpin Partai Buruh1967–1977,Diikuti oleh:Bill Hayden,
3,Didahului oleh:Billy Snedden,Menteri Keuangan Australia1972,Diikuti oleh:Bill Hayden,Diteruskan oleh:Frank Crean
4,Didahului oleh:William McMahon,Perdana Menteri Australia1972–1975,Diteruskan oleh:Malcolm Fraser,
