,T i t i k   k o d e,T i t i k   k o d e . 1,H u r u f   b e s a r X,H u r u f   k e c i l x
0,Unicode,Unicode,U+0058,U+0078
1,ASCII,Desimal,88,120
2,ASCII,Biner,01011000,01111000
3,EBCDIC,EBCDIC,231,167
