,K o d e,N o m o r,E,M a t a   u a n g,W i l a y a h   y a n g   m e n g g u n a k a n   m a t a   u a n g   i n i
51,GEL,981,2,Lari Georgia,Georgia
52,GHS,936,2,Cedi,Ghana
53,GIP,292,2,Pound Gibraltar,Gibraltar
54,GMD,270,2,Dalasi,Gambia
55,GNF,324,0,Frank Guinea,Guinea
56,GTQ,320,2,Quetzal,Guatemala
57,GYD,328,2,Dolar Guyana,Guyana
58,HKD,344,2,Dolar Hong Kong,Hong Kong
59,HNL,340,2,Lempira,Honduras
60,HRK,191,2,Kuno,Kroasia
61,HTG,332,2,Gourde,Haiti
62,HUF,348,2,Forint,Hongaria
63,IDR,360,2,Rupiah,Indonesia
64,ILS,376,2,Shekel,Israel
65,INR,356,2,Rupee India,"Bhutan, India"
66,IQD,368,3,Dinar Irak,Irak
67,IRR,364,2,Rial Iran,Iran
68,ISK,352,2,Krona Islandia,Islandia
69,JMD,388,2,Dolar Jamaika,Jamaika
70,JOD,400,3,Dinar Yordania,Yordania
71,JPY,392,0,Yen,Jepang
72,KES,404,2,Shilling,Kenya
73,KGS,417,2,Som,Kyrgyzstan
74,KHR,116,2,Riel,Kamboja
75,KMF,174,0,Frank Komoro,Komoro
76,KPW,408,2,Won Korea Utara,Korea Utara
77,KRW,410,0,Won Korea Selatan,Korea Selatan
78,KWD,414,3,Dinar Kuwait,Kuwait
79,KYD,136,2,Dolar Kepulauan Cayman,Kepulauan Cayman
80,KZT,398,2,Tenge,Kazakhstan
81,LAK,418,2,Kip,Laos
82,LBP,422,2,Pound Lebanon,Lebanon
83,LKR,144,2,Rupee Sri Lanka,Sri Lanka
84,LRD,430,2,Dolar Liberia,Liberia
85,LSL,426,2,Loti,Lesotho
86,LYD,434,3,Dinar Libya,Libya
87,MAD,504,2,Dirham,"Maroko, Sahara Barat"
88,MDL,498,2,Leu,Moldova
89,MGA,969,0,Ariary,Madagaskar
90,MKD,807,2,Denar,Makedonia
91,MMK,104,2,Kyat,Myanmar
92,MNT,496,2,Tugrik,Mongolia
93,MOP,446,2,Pataca,Makau
94,MRO,478,2,Ouguiya,Mauritania
95,MUR,480,2,Rupee Mauritius,Mauritius
96,MVR,462,2,Rufiyaa,Maldives
97,MWK,454,2,Kwacha,Malawi
98,MXN,484,2,Peso Meksiko,Meksiko
99,MXV,979,2,Unidad de Inversion,Meksiko
100,MYR,458,2,Ringgit,Malaysia
101,MZN,943,2,Metical,Mozambik
102,NAD,516,2,Dolar Namibia,Namibia
103,NGN,566,2,Naira,Nigeria
104,NIO,558,2,Cordoba Oro,Nikaragua
105,NOK,578,2,Krone Norwegia,Norwegia
106,NPR,524,2,Rupee Nepal,Nepal
107,NZD,554,2,Dolar Selandia Baru,"Kepulauan Cook, Selandia Baru, Niue, Pitcairn, Tokelau"
108,OMR,512,3,Riyal Oman,Oman
109,PAB,590,2,Balboa,Panama
110,PEN,604,2,Nuevo Sol,Peru
111,PGK,598,2,Kina,Papua New Guinea
112,PHP,608,2,Peso Filipina,Filipina
113,PKR,586,2,Rupee Pakistan,Pakistan
114,PLN,985,2,Zloty,Polandia
115,PYG,600,0,Guarani,Paraguay
116,QAR,634,2,Rial Qatar,Qatar
117,ROL,642,2,Leu Romania,Romania
118,RON,946,2,Leu Romania,Romania
119,RSD,941,2,Dinar Serbia,Serbia
120,RUB,643,2,Rubel Rusia,"Russia, Abkhazia, Ossetia Selatan"
