,J a b a t a n   a k a d e m i k,J a b a t a n   a k a d e m i k . 1,J a b a t a n   a k a d e m i k . 2
0,Didahului oleh:Thomas Bell,Presiden Linnean Society1861–1874,Diteruskan oleh:George James Allman
1,Penghargaan dan prestasi,Penghargaan dan prestasi,Penghargaan dan prestasi
2,Didahului oleh:Richard Owen,Clarke Medal1879,Diteruskan oleh:Thomas Huxley
