,T a h u n,P e n g h a r g a a n,K a t e g o r i,H a s i l
0,2006,SCTV Awards,Aktor Ngetop,Menang
1,2007,SCTV Awards,Aktor Ngetop,Nominasi
2,2007,Bali International Film Festival,Best Soundtrack (Ost. Bukan Bintang Biasa),Menang
3,2007,Panasonic Awards,Aktor Terfavorit,Nominasi
4,2007,MTV Indonesia Movie Awards,Aktor Paling Favorit,Nominasi
5,2008,AMI Awards,Karya Produksi Dance/Electronic Terbaik (Let's Dance Together) (Melly Goeslaw & BBB),Menang
6,2008,Indonesia Kids Choice Awards,Aktor Pria Favorit,Nominasi
7,2008,Indonesia Kids Choice Awards,Wannabe Award,Nominasi
8,2009,Panasonic Awards,Presenter Musik & Variety Show Terfavorit,Nominasi
9,2009,Dahsyatnya Awards,Penyanyi Duo/Grup Terdahsyat (BBB),Nominasi
10,2009,Indonesia Kids Choice Awards,Aktor Pria Favorit,Menang
11,2009,Indonesia Kids Choice Awards,Pembawa Acara Favorit,Nominasi
12,2009,Indonesia Kids Choice Awards,Wannabe Award,Nominasi
13,2010,Panasonic Gobel Awards,Presenter Musik & Variety Show Terfavorit,Nominasi
14,2010,Indonesia Kids Choice Awards,Aktor Favorit,Nominasi
15,2010,Indonesia Kids Choice Awards,Pembawa Acara Favorit,Nominasi
16,2010,Insert 7th Anniversary,The Best Celebrity Couple 2010 (bersama Yuni Shara),Menang
17,2011,Dahsyatnya Awards,Penyanyi Duo/Grup Terdahsyat (bersama Yuni Shara),Nominasi
18,2011,Awarding Night LA Lights Indie Movie,Best Movie 'Bikin Film Bareng Artis' (Barbie),Menang
19,2011,Panasonic Gobel Awards,Presenter Musik & Variety Show Terfavorit,Nominasi
20,2011,AMI Awards,Karya Produksi Kolaborasi Terbaik (50 Tahun Lagi) (bersama Yuni Shara),Nominasi
21,2011,Indonesia Kids Choice Awards,Aktor Pria Favorit,Nominasi
22,2011,Indonesia Kids Choice Awards,Pembawa Acara Favorit,Nominasi
23,2011,Inbox Awards,Pasangan Terinbox (bersama Yuni Shara),Nominasi
24,2011,Bintang (tabloid),Bintang Paling Berkilau 2011,Menang
25,2012,Infotainment Awards,Pasangan Selebriti Paling Infotainment (bersama Yuni Shara),Menang
26,2012,Dahsyatnya Awards,Penyanyi Duo/Grup Terdahsyat (] Yuni Shara),Nominasi
27,2012,Bintang (tabloid),Selebriti Muda Terkaya 2012,Menang
28,2012,Panasonic Gobel Awards,Presenter Musik & Variety Show Terfavorit,Menang
29,2012,Inbox Awards,Pasangan Terinbox (bersama Yuni Shara),Nominasi
30,2012,Yahoo OMG! Awards,Most Wanted Male,Nominasi
31,2012,Yahoo OMG! Awards,Favorite Couple (bersama Yuni Shara),Nominasi
32,2012,Intens,Artis Inspirasi Intens 2012,Menang
33,2013,Panasonic Gobel Awards,Presenter Musik & Variety Show Terfavorit,Menang
34,2013,Panasonic Gobel Awards,Presenter Talkshow Hiburan Terfavorit,Menang
35,2013,Silet,Artis TerSilet,Menang
36,2013,Insert 10th Anniversary,Celebrity of the Decade,Menang
37,2013,Insert 10th Anniversary,The Hottest Celeb News,Menang
38,2013,Yahoo OMG! Awards,Most Talked About,Nominasi
39,2013,Yahoo OMG! Awards,Most Wanted Male,Nominasi
40,2013,Yahoo OMG! Awards,Controversial Celeb Criminal Case,Menang
41,2014,Dahsyatnya Awards,Pasangan Terdahsyat (bersama Nagita Slavina),Menang
42,2014,Dahsyatnya Awards,Moment Terdahsyat,Menang
43,2014,YKS Romantic Awards,Penampilan Terkejut,Menang
44,2014,YKS Romantic Awards,Artis Tergubrak,Nominasi
45,2014,YKS Romantic Awards,Artis Terbuai,Nominasi
46,2014,Fokus Selebriti Awards,Selebriti Pria Terfokus 2014,Nominasi
47,2014,Fokus Selebriti Awards,Berita Terpanas 2014 (bersama Yuni Shara dan Wanda Hamidah),Nominasi
48,2014,Panasonic Gobel Awards,Aktor Terfavorit,Nominasi
49,2014,Panasonic Gobel Awards,Presenter Program Hiburan Terfavorit,Menang
50,2014,Global Seru Awards,Presenter Paling Seru,Menang
51,2014,Silet,Asmara TerSilet 2014 (bersama Nagita Slavina),Menang
52,2014,Insert,The Hottes Celebrity News (bersama Nagita Slavina),Menang
53,2014,Insert,Celebrity Couple of the Year 2014 (bersama Nagita Slavina),Menang
54,2014,Insert,The Iconic Celebrity 2014,Menang
55,2014,Yahoo! Celebrity Awards,Favorite Couple (bersama Nagita Slavina),Menang
56,2015,,,
57,2015,Infotainment Awards,Pernikahan Selebriti Paling Fenomenal (bersama Nagita Slavina),Menang
58,2015,Infotainment Awards,Pasangan Selebriti Paling Romantis (bersama Nagita Slavina),Nominasi
59,2015,Infotainment Awards,Celebrity of The Year,Nominasi
60,2015,Dahsyatnya Awards,Ulang Tahun Terdahsyat (bersama Nagita Slavina),Nominasi
61,2015,Dahsyatnya Awards,Momen Terdahsyat,Nominasi
62,2015,Dahsyatnya Awards,Pasangan Terdahsyat (bersama Nagita Slavina),Nominasi
63,2015,Selebrita Awards,Pasangan Terseleb (bersama Nagita Slavina),Nominasi
64,2015,Selebrita Awards,Seleb Eksis,Nominasi
65,2015,Simfoni Cinta,Pasangan Fenomenal (bersama Nagita Slavina),Menang
66,2015,Fokus Selebriti Awards,Berita Terheboh (bersama Nagita Slavina),Menang
67,2015,Global Seru Awards,Presenter Paling Seru,Menang
68,2015,Indonesia Kids Choice Awards,Host Terfavorit,Menang
69,2015,Panasonic Gobel Awards,Presenter Musik/Variety Show & Entertainment,Menang
70,2015,Insert,Very Important Person of The Year (bersama Nagita Slavina),Menang
71,2016,Ada-Ada Aja Awards,Artis Tersibuk,Menang
72,2016,Obsesi Awards,Artis Tereksis,Menang
73,2016,Dahsyatnya Awards,Pasangan Terdahsyat (bersama Nagita Slavina),Nominasi
74,2016,Infotainment Awards,Gourgeous Baby (Rafathar),Nominasi
75,2016,Infotainment Awards,Gourgeous Dad,Nominasi
76,2016,Infotainment Awards,Pasangan Selebriti Paling Romantis (bersama Nagita Slavina),Nominasi
77,2016,Nickelodeon Indonesia Kids' Choice Awards,Pasangan Layar Kaca Favorit (bersama Nagita Slavina),Menang
78,2016,Panasonic Gobel Awards,Presenter Program Hiburan Terfavorit,Menang
79,2016,Bright Awards,Pasangan Bintang Iklan Berdasarkan Survey Pemirsa TV (bersama Nagita Slavina),Menang
80,2016,Bright Awards,Pasangan Bintang Iklan Terfavorit (bersama Nagita Slavina),Menang
81,2016,Bright Awards,Bintang Iklan Pria Terfavorit,Menang
82,2016,Bright Awards,The Brightest Star 2016,Menang
83,2016,Pop Awards,Family Pop Awards bersama Syahnaz Sadiqah,Menang
84,2016,Pop Awards,Best Friend Pop Awards bersama Irwansyah,Menang
85,2016,Seleb On News Awards,Seleb Most Wanted (bersama Nagita Slavina),Menang
86,2016,Seleb On News Awards,Seleb Paling Sosmed,Menang
