,N o m o r,B a h a s a   B e s o a,B a h a s a   I n d o n e s i a
215,213.,kupi,kepiting
216,214.,kalakia,burung hantu
217,215.,kongka,burung elang
218,216.,bau boe,lumba-lumba
219,217.,koloe,nuri
220,218.,kea,kakatua
221,219.,goo-goo,bangau
222,220.,dena,pipit
223,221.,balolai,burung gereja
224,222.,tadahi maleo,burung maleo
225,223.,toripa,teripang
226,224.,imbu,naga laut
227,225.,ntolup,belut besar
228,226.,mahapi,belut kecil
229,227.,watu bau,tiram
230,228.,ngkolobue,siput darat
231,229.,ngkolobue tahi,siput laut
232,230.,kakapu,kakap
233,231.,bau betue,bintang laut
234,232.,wulu beo,bulu babi
235,233.,katupee,belalang
236,234.,kokou,tekukur
237,235.,kaa',burung gagak
238,236.,npelu'u,belibis
239,237.,titi,itik
240,238.,kaluku,kelapa
241,239.,taipa,mangga
242,240.,babuno,langsat
243,241.,duri,durian
244,242.,sarakaya,serikaya
245,243.,nanaga,nangka
246,244.,loka,pisang
247,245.,tuwu,tebu
248,246.,pangana,pinang
249,247.,katedo,labu
250,248.,temu,ketimun
251,249.,marisa,lombok
252,250.,kadus,keladi
253,251.,sague,sagu
254,252.,uwi,ubi jalar
255,253.,wikau,ketela
