,D a e r a h,R e g i o n,P u s a t
0,Ilocos,I,"San Fernando, La Union"
1,Lembah Cagayan,II,"Tuguegarao, Cagayan"
2,Luzon Tengah,III,"San Fernando, Pampanga"
3,CALABARZON,IV-A,"Calamba, Laguna"
4,MIMAROPA,Mimaropa,"Calapan, Oriental Mindoro"
5,Wilayah Bicol,V,"Legazpi, Albay"
6,Bisaya Barat,VI,Iloilo City
7,Bisaya Tengah,VII,Cebu City
8,Bisaya Timur,VIII,Tacloban
9,Semenanjung Zamboanga,IX,"Pagadian, Zamboanga del Sur"
10,Mindanao Utara,X,Cagayan de Oro
11,Wilayah Davao,XI,Davao City
12,SOCCSKSARGEN,XII,"Koronadal, Cotabato Selatan"
13,Caraga,XIII,Butuan
14,Wilayah Otonomi di Mindanao Muslim,BARMM,Cotabato City
15,Wilayah Administratif Cordillera,CAR,Baguio
16,Metro Manila,NCR,Manila
