,K a b u p a t e n,K a w a s a n
0,Aceh Selatan,"Kecamatan Kemukiman Kandang (Kecamatan Kluet Selatan), Kecamatan Labuhan Haji, Kecamatan Labuhan Haji Timur, Kecamatan Sama Dua, Kecamatan Tapak Tuan"
1,Aceh Barat Daya,Kecamatan Susoh
2,Aceh Barat,"Umumnya terpusat di beberapa desa dalam Kecamatan Meureubo (bercampur dengan Suku Aceh), yaitu desa Gunong Kleng, Peunaga, Meureubo, Ranto Panyang, dan sekitarnya. Di samping itu, sebagian kecil juga mendiami Desa Padang Seurahet yang termasuk dalam Kecamatan Johan Pahlawan. Umumnya yang disebut terakhir ini merupakan keturunan pendatang yang berasal dari Kabupaten Aceh Selatan dan telah menetap lama di Aceh Barat secara turun temurun."
3,Simeulue,Sinabang dan sekitarnya
4,Aceh Singkil,"Kota Singkil, Kecamatan Pulau Banyak"
