,K e l o m p o k   e t n i s,P o p u l a s i,%   t o t a l *
0,Kulit putih Britania,50.366.497,"85,67%"
1,Kulit putih lainnya,3.096.169,"5,27%"
2,India,1.053.411,"1,8%"
3,Pakistan,977.285,"1,6%"
4,Irlandia,691.232,"1,2%"
5,Ras campuran,677.117,"1,2%"
6,Kulit hitam Karibia,,"1,0%"
7,Kulit hitam Afrika,485.277,"0,8%"
8,Bangladesh,283.063,"0,5%"
9,Asia lainnya (non-Tionghoa),247.644,"0,4%"
10,Tiongkok,247.403,"0,4%"
11,Lain-lain,230.615,"0,4%"
12,Kulit hitam lainnya,97.585,"0,2%"
13,* Persentase dari total populasi berdasarkan sensus 2001,* Persentase dari total populasi berdasarkan sensus 2001,* Persentase dari total populasi berdasarkan sensus 2001
