,0,1,2
0,Didahului oleh:Julius Caesar tanpa mitra,"Konsul Republik Romawi44 SM(pertama dengan Julius Caesar,kemudian dengan Publius Cornelius Dolabella (suffectus))",Diteruskan oleh:Aulus HirtiusGaius Vibius Pansa Caetronianus
1,Didahului oleh:Lucius CornificiusSixtus Pompeius,"Konsul Republik Romawi34 SM(pertama dengan Lucius Scribonius Libo,kemudian dengan Aemilius Lepidus Paullus (suffectus))",Diteruskan oleh:Kaisar AugustusLucius Volcatius Tullus
