,P o s i s i,D a l a m   b e n t u k   ( $   j u t a ),D a l a m   b e n t u k   ( $   j u t a )
0,Juara,42,42
1,Posisi kedua,30,30
2,Posisi ketiga,27,27
3,Posisi keempat,25,25
4,Posisi ke 5 - 8 (perempat final),17,68
5,Posisi ke 9 - 16 (Babak 16 besar),13,104
6,Posisi ke 17 - 32 (Babak grup),9,144
7,Jumlah,Jumlah,440
