,H,K o t a / K a b u p a t e n,K o d e
0,Kota Semarang,H - **A/*F/**G/*H/*P/*Q/*R/*S/*W/*X/*Y/*Z,
1,Kota Salatiga,H - **B/*K/*O/*T,
2,Kabupaten Semarang,H - **C/*I/*L/*V,
3,Kabupaten Kendal,H - **D/*M/*U,
4,Kabupaten Demak,H - **E/*J/*N,
5,Catatan: - (angka plat nomor); * (satu angka pembeda); ** (dua angka pembeda),Catatan: - (angka plat nomor); * (satu angka pembeda); ** (dua angka pembeda),Catatan: - (angka plat nomor); * (satu angka pembeda); ** (dua angka pembeda)
