,N o,P r o v i n s i,J u m l a h   2 0 1 0,%
0,1.0,Kalimantan Barat [47],2.194.009,"72,90%"
1,2.0,Kalimantan Tengah [48],450.682,"14,98%"
2,3.0,Kalimantan Timur dan Kalimantan Utara [49],212.056,"7,05%"
3,4.0,Kalimantan Selatan [50],68.051,"2,26%"
4,5.0,Provinsi lain,84.696,"2,81%"
5,,Indonesia,3.009.494,100%
