,B a h a s a,D i a l e k,P e r g i,K a k i,M a n d i,P a g i,P i s a n g,S a y u r,A t a s,B a w a h,P a s i r,U s u s
0,Tae',Bua,ingka,aje,minjio,makale,loka,ukkaju,jao,jiong,bone,parru
1,Tae',Luwu Selatan,manjo,aje,minjio,makale,punti,utang,jao,jiong,kassi,parru
2,Tae',Luwu Timur Laut,lao,*,*,*,*,*,*,*,*,*
3,Tae',Rongkong,vale/wale,lettek,mindio,melambi,putti,*,yao,*,*,isi tambuk
4,Bahasa Duri,Bahasa Duri,male,aje,menjio,makale,punti,utan,jao,jiong,kassiq,tambuk
5,Bahasa Toraja-Sa'dan,Bahasa Toraja-Sa'dan,male,lentek,mendioq,melambiq,punti,utan,dao,diong,kassiq,tambuk
