,M a s a   j a b a t a n,P e l a t i h   K e p a l a / M a n a j e r
0,1977–1990,Dave Sexton
1,1990–1993,Lawrie McMenemy
2,1994–1996,Dave Sexton
3,1996–1999,Peter Taylor
4,1999,Peter Reid
5,1999–2001,Howard Wilkinson
6,2001–2004,David Platt
7,2004–2007,Peter Taylor
8,2007–2013,Stuart Pearce
