,B u a h   s e j a t i,B u k a n   b u a h   s e j a t i
0,"Perkembangan dari bakal buah dan dikonsumsi sebagai buah-buahan.Contoh: kelapa, jeruk, mangga","Bukan perkembangan dari bakal buah tetapi dikonsumsi sebagai buah-buahan.Contoh: apel,cempedak, tin (ara), jambu monyet"
1,"Perkembangan dari bakal buah tetapi dianggap bukan buah-buahan.Contoh: tomat, padi, kacang mede","Bukan perkembangan dari bakal buah dan dianggap bukan buah-buahan.Contoh: buah nangka muda, bongkol bunga matahari"
