,N a m a   S u b s p e s i e s,P e n y e b a r l u a s a n,U r a i a n,N a m a   u m u m
0,"Ursus thibetanus formosanus Swinhoe, 1864",Taiwan,Tidak memiliki bulu leher tebal seperti subspesies lain[11],Beruang hitam formosa
1,"Ursus thibetanus gedrosianus Blanford, 1877",Selatan Baluchistan[12],"Seekor subspesies kecil dengan rambut kasar yang relatif pendek, umumnya berwarna coklat kemerahan daripada hitam.[11][12]",
2,"Ursus thibetanus japonicus Schlegel, 1857","Honshū, Kyushu, Hokkaidō dan Shikoku",Seekor subspesies kecil dengan berat antara 60–120 kg pada jantan dewasa dan 40–100 kg pada betina dewasa. Panjang tubuh rata-rata 110–140 cm.[13] Tidak memiliki bulu leher tebal seperti subspesies lainnya dan memiliki moncong coklat kegelapan.[11],Beruang hitam jepang
3,"Ursus thibetanus laniger Pocock, 1932","Kashmir, Himalaya dan Sikkim[12]",Berbeda dari U. t. thibetanus dengan bulu yang lebih tebal dan tanda putih di dada lebih kecil.[12],Beruang hitam himalaya
4,"Ursus thibetanus mupinensis Heude, 1901",Himalaya dan Indochina,"Berwarna cerah, mirip dengan Ursus thibetanus laniger",Beruang hitam indochina
5,"Ursus thibetanus thibetanus Cuvier, 1823","Assam, Nepal, Burma, Mergui, Thailand dan Annam[12]",Berbeda dari ras Himalayan dengan mantel tipis[12],Beruang hitam tibet
6,"Ursus thibetanus ussuricus Heude, 1901","Selatan Siberia, timur laut Tiongkok dan Semenanjung Korea",Subspesies terbesar.[3][11],Beruang hitam ussuri
