,H u r u f,N a m a,H u r u f . 1,N a m a . 1,H u r u f . 2,N a m a . 2
0,A a,a,J j,je,S s,es
1,B b,be,K k,ka,T t,te
2,C c,ce,L l,el,U u,u
3,D d,de,M m,em,V v,ve
4,E e,e,N n,en,W w,we
5,F f,ef,O o,o,X x,eks
6,G g,ge,P p,pe,Y y,ye
7,H h,ha,Q q,qi,Z z,zet
8,I i,i,R r,er,,
