,P r o v i n s i,A r e a   ( k m ² ),P o p u l a s i,K e p a d a t a n   ( p d d k . / k m ² )
0,Provinsi Agrigento,3042,455288,149.6
1,Provinsi Caltanissetta,2128,272359,127.9
2,Provinsi Catania,3552,1084674,305.3
3,Provinsi Enna,2562,173558,67.7
4,Provinsi Messina,3247,654520,201.5
5,Provinsi Palermo,4992,1244012,249.2
6,Provinsi Ragusa,1614,313698,194.3
7,Provinsi Syracuse,2109,402680,190.9
8,Provinsi Trapani,2460,435877,177.1
