,N a m a,K o m p o s i s i   k i m i a,S t r u k t u r
0,Vitamin D1[20],"Campuran komponen molekul ergokalsiferol dan lumisterol, 1:1",
1,Vitamin D2[21],ergokalsiferol (terbentuk dari ergosterol),
2,Vitamin D3[22],kolekalsiferol (terbentuk dari 7-dehidrokolesterol di kulit).,
3,Vitamin D4[23],22-dihidroergokalsiferol,
4,Vitamin D5[24],sitokalsiferol (terbentuk dari 7-dehidrositosterol),
