,A l i r a n,P e m e l u k,%   d a r i   p o p u l a s i   K r i s t e n,%   d a r i   p o p u l a s i   d u n i a,D i n a m i k a   p e m e l u k,D i n a m i k a   m a s u k   d a n   k e l u a r   a g a m a   K r i s t e n
0,Katolik,1369610000,461.0,159.0,Naik,Naik
1,Protestan,"1.000,640,000",40.7,11.6,Naik,Naik
2,Ortodoks,260380000,11.9,3.8,Naik,Turun
3,Lain-lain,48430000,1.3,0.4,Naik,Naik
4,Agama Kristen,2.5 Miliyar,100.0,31.7,Naik,Stabil
