,B i b i r,D e n t a l / A l v e o l a r,P a s r o n g g i,P a l a t a l,V e l a r,G l o t a l
0,m,n,,ɲ,,
1,p,t,,c,k,
2,b,d,,ɟ,ɡ,
3,,t͡s,t͡ʃ,,,
4,,d͡z,d͡ʒ,,,
5,f,s,ʃ,ç,,(h)
6,v,z,ʒ,,,
7,,r,,,,
8,,l,,ʎ,,
9,,,,j,w,
