,B a h a s a   K o m e r i n g,B a h a s a   M e l a y u   P a l e m b a n g,B a h a s a   I n d o n e s i a
0,Pernyataan Umum tentang Hak Asasi Manusio,Deklarasi Universal Pasal Hak Asasinyo Wong,Pernyataan Umum tentang Hak-Hak Asasi Manusia
1,Pasal 1,Pasal 1,Pasal 1
2,Kaunyin jolma tilahir ko mardeka rik uwat pi'il rik hak-hak sai gohgoh. Tiyan tiunjuk akal pikiran rik hati nurani mari tiyan dapok nyampur rik sai barih na dilom semangat bumianak.,"Wong tu dilaherke merdeka galo, jugo samo-samo ado martabat dengen hak galo. Wong-wong beroleh karunia akal dengen nurani, dan mestinyo besuo samo yang laen dengen caro wong bedulur.",Semua orang dilahirkan merdeka dan mempunyai martabat dan hak-hak yang sama. Mereka dikaruniai akal dan hati nurani dan hendaknya bergaul satu sama lain dalam semangat persaudaraan.
