,A f r i k a a n s,B e l a n d a,I n d o n e s i a
0,piesang,banaan,pisang
1,lemoen,sinaasappel,jeruk
2,suurlemoen,citroen,limun
3,baie,"heel, erg",banyak
4,boontoe,"top, doodlopend",buntu
