,S k a l a,K e t e r a n g a n
0,0,Sepenuhnya heteroseksual
1,1,"Utamanya heteroseksual, sesekali homoseksual"
2,2,"Utamanya heteroseksual, kadang-kadang homoseksual"
3,3,Heteroseksual dan homoseksual
4,4,"Utamanya homoseksual, kadang-kadang heteroseksual"
5,5,"Utamanya homoseksual, sesekali heteroseksual"
6,6,Sepenuhnya homoseksual
7,X,Tidak ada kontak atau reaksi sosio-seksual
