,D a t a   i k l i m   N e w   Y o r k   ( C e n t r a l   P a r k ),D a t a   i k l i m   N e w   Y o r k   ( C e n t r a l   P a r k ),D a t a   i k l i m   N e w   Y o r k   ( C e n t r a l   P a r k ),D a t a   i k l i m   N e w   Y o r k   ( C e n t r a l   P a r k ),D a t a   i k l i m   N e w   Y o r k   ( C e n t r a l   P a r k ),D a t a   i k l i m   N e w   Y o r k   ( C e n t r a l   P a r k ),D a t a   i k l i m   N e w   Y o r k   ( C e n t r a l   P a r k ),D a t a   i k l i m   N e w   Y o r k   ( C e n t r a l   P a r k ),D a t a   i k l i m   N e w   Y o r k   ( C e n t r a l   P a r k ),D a t a   i k l i m   N e w   Y o r k   ( C e n t r a l   P a r k ),D a t a   i k l i m   N e w   Y o r k   ( C e n t r a l   P a r k ),D a t a   i k l i m   N e w   Y o r k   ( C e n t r a l   P a r k ),D a t a   i k l i m   N e w   Y o r k   ( C e n t r a l   P a r k ),D a t a   i k l i m   N e w   Y o r k   ( C e n t r a l   P a r k )
0,Rekor tertinggi °F (°C),72 (22),75 (24),86 (30),96 (36),99 (37),101 (38),106 (41),104 (40),102 (39),94 (34),84 (29),75 (24),106 (41)
1,Rata-rata tertinggi °F (°C),38.0 (3.3),41.0 (5),49.8 (9.9),60.7 (15.9),70.9 (21.6),79.0 (26.1),84.2 (29),82.4 (28),74.7 (23.7),63.5 (17.5),53.1 (11.7),42.9 (6.1),61.7 (16.5)
2,Rata-rata terendah °F (°C),26.2 (−3.2),28.1 (−2.2),35.1 (1.7),44.2 (6.8),54.2 (12.3),63.3 (17.4),68.8 (20.4),67.7 (19.8),60.3 (15.7),49.6 (9.8),41.0 (5),31.6 (−0.2),47.5 (8.6)
3,Rekor terendah °F (°C),−6 (−21),−15 (−26),3 (−16),12 (−11),28 (−2),44 (7),52 (11),50 (10),39 (4),28 (−2),7 (−14),−13 (−25),−15 (−26)
4,Presipitasi inci (mm),4.13 (104.9),3.15 (80),4.37 (111),4.28 (108.7),4.69 (119.1),3.84 (97.5),4.62 (117.3),4.22 (107.2),4.23 (107.4),3.85 (97.8),4.36 (110.7),3.95 (100.3),"49,69 (1.261,9)"
5,Curah salju inci (cm),7.5 (19.1),8.4 (21.3),5.0 (12.7),0.9 (2.3),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0.9 (2.3),5.4 (13.7),28.1 (71.4)
6,Rata-rata hari hujan atau bersalju (≥ 0.01 in),10.3,9.4,10.7,11.1,11.4,10.8,10.2,9.5,9.1,8.3,9.3,10.6,120.7
7,Rata-rata hari bersalju (≥ 0.1 in),4.1,2.9,1.6,0.2,0,0,0,0,0,0,0.3,1.8,10.9
8,Sumber: NOAA [57] Weatherbase [58],Sumber: NOAA [57] Weatherbase [58],Sumber: NOAA [57] Weatherbase [58],Sumber: NOAA [57] Weatherbase [58],Sumber: NOAA [57] Weatherbase [58],Sumber: NOAA [57] Weatherbase [58],Sumber: NOAA [57] Weatherbase [58],Sumber: NOAA [57] Weatherbase [58],Sumber: NOAA [57] Weatherbase [58],Sumber: NOAA [57] Weatherbase [58],Sumber: NOAA [57] Weatherbase [58],Sumber: NOAA [57] Weatherbase [58],Sumber: NOAA [57] Weatherbase [58],Sumber: NOAA [57] Weatherbase [58]
