,0,1,2
0,James VI dari Skotlandia & I dari InggrisWangsa StuartLahir: 19 Juni 1566 Meninggal: 27 Maret 1625,James VI dari Skotlandia & I dari InggrisWangsa StuartLahir: 19 Juni 1566 Meninggal: 27 Maret 1625,James VI dari Skotlandia & I dari InggrisWangsa StuartLahir: 19 Juni 1566 Meninggal: 27 Maret 1625
1,Gelar kebangsawanan,Gelar kebangsawanan,Gelar kebangsawanan
2,Didahului oleh:Maria,Raja Skotlandia1567–1625,Diteruskan oleh:Charles I dari Inggris
3,Didahului oleh:Elizabeth I,Raja Inggris dan Irlandia1603–1625,Diteruskan oleh:Charles I dari Inggris
4,Bangsawan Skotlandia,Bangsawan Skotlandia,Bangsawan Skotlandia
5,LowongTerakhir dijabat olehJames Stewart,Adipati Rothesay1566–1567,"LowongSelanjutnya dijabat olehHenry Frederick, Pangeran Wales"
6,Didahului oleh:Henry Stuart,Adipati Albanypenciptaan ke-41567,Disatukan dengan Mahkota
