,0,1,2
0,Akihito Wangsa YamatoLahir: 23 Desember 1933,Akihito Wangsa YamatoLahir: 23 Desember 1933,Akihito Wangsa YamatoLahir: 23 Desember 1933
1,Gelar kebangsawanan,Gelar kebangsawanan,Gelar kebangsawanan
2,"Didahului oleh:Hirohito, Kaisar Showa",Kaisar Jepang7 Januari 1989 — 30 April 2019,Diteruskan oleh:Naruhito
3,Gelar kehormatan,Gelar kehormatan,Gelar kehormatan
4,"LowongTerakhir dijabat olehMorohito, Kaisar Kōkaku",Purna-Kaisar Jepang1 Mei 2019 – sekarang,Petahana
