,P o p u l a s i [ 9 0 ] [ 9 1 ],P o p u l a s i [ 9 0 ] [ 9 1 ],P o p u l a s i [ 9 0 ] [ 9 1 ],P o p u l a s i [ 9 0 ] [ 9 1 ]
0,1950,59.0,,
1,2000,111.0,,
2,2018,11.3,,
