,T a h u n,J u d u l,P e r a n,K e t e r a n g a n
0,2008,Liar,,
1,2011,Masih Bukan Cinta Biasa,Tio,
2,2016,Pinky Promise,Ayah Ken,
3,2018,Serendipity,Salim,
4,2020,Generasi 90an: Melankolia,Ayah Abi & Indah,
5,2021,Persahabatan Bagai Kepompong,Sarjono,Film orisinal Disney+ Hotstar
6,2023,Teman Tidur,Papa Kelly,
