,E d i s i,T a h u n,T a n g g a l,T i k e t   t e r j u a l,A r t i s   u t a m a,A r t i s   l a i n n y a,H a r g a   t i k e t
0,1,1970,19 September,"1,500[1]",T.Rex (mengganti The Kinks)[1],,£1[1]
1,2,1971,22–24 Juni,"12,000[2]",David Bowie[2],"Pink Floyd ditagih, tapi dibatalkan.[3]",Free[2]
2,3,1978,28–8 Juli,500[4],tidak ada,,
3,4,1979,21–23 Juni,"12,000[5]",Tim Blake · Peter Gabriel[5],,£5[5]
4,5,1981,19–21 Juni,"18,000[6]",Hawkwind · Ginger Baker[7],New Order,£8[6]
5,6,1982,18–20 Juni,"25,000[7]",Van Morrison · Jackson Browne[7],"U2 ditagih, tapi dibatalkan.",£8[7]
6,7,1983,17–19 Juni,"30,000[8]",Curtis Mayfield · UB40[8],,£12[8]
7,8,1984,22–24 Juni,"35,000[9]",The Smiths · Weather Report · Black Uhuru[9],"Elvis Costello, The Waterboys",£13[9]
8,9,1985,21–23 Juni,"40,000[10]",Echo & the Bunnymen · Joe Cocker · The Boomtown Rats[10],The Style Council,£16[10]
9,10,1986,20–22 Juni,"60,000[11]",The Cure · The Psychedelic Furs · Level 42[11],"Simply Red, Madness",£17[11]
10,11,1987,19–21 Juni,"60,000[12]",Elvis Costello · Van Morrison · The Communards[12],New Order,£21[12]
11,12,1989,16–18 Juni,"65,000[13]",Elvis Costello · Van Morrison · Suzanne Vega[13],Pixies,£28[13]
12,13,1990,22–24 Juni,"70,000[14]",The Cure · Happy Mondays · Sinéad O'Connor[14],Archaos,£38[14]
13,14,1992,26–28 Juni,"70,000[15]",Carter USM · Shakespears Sister · Youssou N'Dour[15],"Lou Reed, BBlur, Primal Scream, Morrissey ditagih, tapi dibatalkan.",£49[15]
14,15,1993,25–27 Juni,"80,000[16]",The Black Crowes · Christy Moore · Lenny Kravitz (mengganti Red Hot Chili Peppers)[16],"The Velvet Underground, Primal Scream",£58[16]
15,16,1994,24–26 June,"80,000[17]",Levellers · Elvis Costello · Peter Gabriel[17],"Johnny Cash, Rage Against the Machine, Björk, Radiohead, Blur, Oasis, Pulp, Saint Etienne",£59[17]
16,17,1995,23–25 Juni,"80,000[18]",Oasis · Pulp (mengganti The Stone Roses) · The Cure[18],"The Offspring, Jeff Buckley, Page and Plant, The Prodigy, The Black Crowes, PJ Harvey",£65[18]
17,18,1997,27–29 Juni,"90,000[19]",Radiohead · The Prodigy · Ash (mengganti Steve Winwood)[19],"The Smashing Pumpkins, Sting, Neil Young ditagih, tapi dibatalkan.",£75[19]
18,19,1998,26–28 Juni,"100,500[20]",Primal Scream · Blur · Pulp[20],"Bob Dylan, Robbie Williams, Foo Fighters, Tony Bennett, Tori Amos",£80[20]
19,20,1999,25–27 Juni,"100,500[21]",R.E.M. · Manic Street Preachers · Skunk Anansie[21],"Coldplay, Muse, Ash, Blondie",£83[21]
20,21,2000,23–25 Juni,"100,000[22]",David Bowie · Travis · The Chemical Brothers[22],"Muse, Coldplay, Cypress Hill",£87[22]
21,22,2002,28–30 Juni,"140,000[23]",Coldplay · Rod Stewart · Stereophonics[23],"The White Stripes, Roger Waters, Isaac Hayes, Garbage",£97[23]
22,23,2003,27–29 Juni,"150,000[24]",R.E.M. · Radiohead · Moby[24],"Manic Street Preachers, The Flaming Lips, Yes, Primal Scream",£105[24]
23,24,2004,25–27 Juni,"150,000[25]",Paul McCartney · Oasis · Muse[25],"James Brown, Kings of Leon, Morrissey, Franz Ferdinand",£112[25]
24,25,2005,24–26 Juni,"153,000[26]",The White Stripes · Coldplay · Basement Jaxx (mengganti Kylie Minogue)[26],"The Killers, New Order, Primal Scream, Elvis Costello, Brian Wilson",£125[26]
25,26,2007,22–24 Juni,"135,000[27]",Arctic Monkeys · The Killers · The Who[27],"Adele, Arcade Fire, Arcadia Spectacular, Shirley Bassey, Björk, The Kooks, Amy Winehouse",£145[27]
26,27,2008,27–29 Juni,"134,000[28]",Kings of Leon · Jay Z · The Verve[28],"Leonard Cohen, Neil Diamond, Amy Winehouse, John Mayer, Foals",£155[28]
27,28,2009,26–28 Juni,"135,000[29]",Neil Young · Bruce Springsteen · Blur[29],"Pendulum, Status Quo, The Prodigy, The Specials, Lady Gaga, The Black Eyed Peas, Crosby, Stills & Nash, Franz Ferdinand",£175[29]
28,29,2010,25–27 Juni,"135,000[30]",Gorillaz (mengganti U2) · Muse · Stevie Wonder[30],"Shakira, The Flaming Lips, Jackson Browne, Pet Shop Boys, Ray Davies, Radiohead Thom Yorke (acara rahasia, bergabung di dekat akhir acara oleh teman bandnya Jonny Greenwood)",£185[30]
29,30,2011,24–26 Juni,135000,U2 · Coldplay · Beyoncé,"B.B. King, Morrissey, Paul Simon, Wu-Tang Clan, Radiohead (acara rahasia), Pulp (acara rahasia), Primal Scream, The Wombles, Master Musicians of Joujouka",£195
30,31,2013,28–30 Juni,135000,Arctic Monkeys · The Rolling Stones · Mumford & Sons,"Dizzee Rascal, Ben Howard, Jake Bugg, Sir Bruce Forsyth, Primal Scream, Vampire Weekend, The Vaccines, Kenny Rogers, Beady Eye, Tame Impala, Hurts Portishead, Skrillex (acara rahasia)",£205
31,32,2014,27–29 Juni,135000,Arcade Fire · Metallica · Kasabian,"Lily Allen, Arcadia Spectacular, The Black Keys, Blondie, Jake Bugg, Elbow, Dolly Parton, Goldfrapp, Imagine Dragons, Manic Street Preachers, Massive Attack, M.I.A., Pixies, Robert Plant, Lana Del Rey, Skrillex, Jack White, The Tuts",£210
32,33,2015,24–28 Juni,135000,Florence and the Machine (mengganti Foo Fighters) · Kanye West[31] · The Who,"Lionel Richie,[32] Motörhead,[33] Pharrell Williams, The Libertines, Paul Weller, Deadmau5, Alt-J, Paloma Faith, The Waterboys, George Ezra, Patti Smith, Thee Faction, The Chemical Brothers, Burt Bacharach, Enter Shikari, The Moody Blues",£225
