,B i l a b i a l,K o r o n a l,P a l a t a l,V e l a r,G l o t t a l
0,m,n,ɲ,ŋ,
1,ᵐb,ⁿd,ᶮɟ,ᵑɡ,
2,b,d,ɟ,ɡ,
3,p,t̪,,k,ʔ
4,,s,,,h
5,,l,,,
6,,ɹ,,,
