,G e l a r   k e b a n g s a w a n a n,G e l a r   k e b a n g s a w a n a n . 1,G e l a r   k e b a n g s a w a n a n . 2
0,Didahului oleh:Edmund II,Raja Inggris1016–1035,Diteruskan oleh:Harold Harefoot
1,Didahului oleh:Harald II,Raja Denmark1018–1035,Diteruskan oleh:Harthacnut
2,Didahului oleh:Santo Olaf,Raja Norwegia1028–1035bersama dengan Hákon Eiríksson (1028–1029)Sveinn Alfífuson (1030–1035),Diteruskan oleh:Magnus I
