,E l e k t r o l i t   k u a t,E l e k t r o l i t   l e m a h,N o n e l e k t r o l i t
0,HCl (asam klorida),CH3COOH (asam asetat),CH3OH (metanol)
1,H2SO4 (asam sulfat),HF (asam fluorida),C2H5OH (etanol)
2,HNO3 (asam nitrat),HNO2 (asam nitrit),C12H22O11 (sukrosa)
3,HClO4 (asam perklorat),NH3 (amonia),C6H12O6 (glukosa)
