,B u l a n   ( R o m a w i ),L a m a   s e b e l u m   4 5   S M,L a m a   s e t e l a h   4 5   S M,B u l a n
0,Ianuarius[1],29,31,Januari
1,Februarius,28 (tahun kabisat: 23 atau 24),28 (tahun kabisat: 29),Februari
2,Mercedonius/Intercalaris,0 (tahun kabisat: 27),(kosong),—
3,Martius,31,31,Maret
4,Aprilis,29,30,April
5,Maius,31,31,Mei
6,Iunius[1],29,30,Juni
7,Quintilis[2] (Iulius),31,31,Juli
8,Sextilis (Augustus),29,31,Agustus
9,September,29,30,September
10,October,31,31,Oktober
11,November,29,30,November
12,December,29,31,Desember
13,Total,355/377-378,365/366,
