,0,1,2,3,4,5,6,7,8,9,1 0,1 1,1 2,1 3,1 4,1 5,1 6,1 7
0,H2CO3,,,,,,,,,,,,,,,,,He
1,LiCO3,BeCO3,,,,,,,,,,,B,C,"(NH4)2CO3, NH4HCO3",O,F,Ne
2,"Na2CO3, NaHCO3, Na3H(CO3)2","MgCO3, Mg(HCO3)2",,,,,,,,,,,Al2(CO3)3,Si,P,S,Cl,Ar
3,"K2CO3, KHCO3","CaCO3, Ca(HCO3)2",Sc,Ti,V,Cr,MnCO3,FeCO3,CoCO3,NiCO3,CuCO3,ZnCO3,Ga,Ge,As,Se,Br,Kr
4,Rb2CO3,SrCO3,Y,Zr,Nb,Mo,Tc,Ru,Rh,Pd,Ag2CO3,CdCO3,In,Sn,Sb,Te,I,Xe
5,"Cs2CO3, CsHCO3",BaCO3,,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl2CO3,PbCO3,(BiO)2CO3,Po,At,Rn
6,Fr,Ra,,Rf,Db,Sg,Bh,Hs,Mt,Ds,Rg,Cn,Uut,Fl,Uup,Lv,Uus,Uuo
7,,,↓,,,,,,,,,,,,,,,
8,,,La2(CO3)3,Ce,Pr,Nd,Pm,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,
9,,,Ac,Th,Pa,UO2CO3,Np,Pu,Am,Cm,Bk,Cf,Es,Fm,Md,No,Lr,
