,J e n i s,K e k e r a s a n   f i s i k,K e k e r a s a n   m e n t a l
0,Perlakuan aktif,"melukai, mencederai, dan menyiksa hewan, termasuk melakukan aktivitas seksual dengan hewan, mengadu antarhewan, dan membatasi pergerakan hewan","menanamkan rasa takut, kesedihan, dan kecemasan kepada hewan, misalnya melalui intimidasi"
1,Perlakuan pasif,"mengabaikan atau menelantarkan hewan tanpa menyediakan kebutuhan hewan, misalnya tidak memberikan akses untuk makan dan minum",tidak memberikan atau menyediakan interaksi sosial yang cukup untuk hewan sehingga hewan tidak menerima afeksi atau kekurangan stimulus rekreasional
