,G a m b a r,T i p e,G e r a k a n
0,,Rajutan,"Agama Zionisme, Ortodoks Modern,[1] Yudaisme Konservatif,[2] Reform Judaism[2]"
1,,Kulit,"Ortodoks Modern,[1] Yudaisme Konservatif,[2] Yudaisme Pembaruan[2]"
2,,Beludru hitam,"Yeshivish, Haredi[3]"
3,,Satin,"Yudaisme Konservatif, Yudaisme Pembaruan"
4,,Rajutan putih,"Banyak Yerusalemit mengenakan penuh seukuran kepala, rajutan putih kippah, kadang-kadang dengan merajut pom-pom atau rumbai di atas. Beberapa Hasidim Breslov, pengikut Rabbi akhir Yisroel Ber Odesser, memakainya dengan mantra Na Nach Nachma Nachman Meuman rajutan dalam atau disulam di atasnya.[4]"
5,,Bukhara[5],"Populer dengan anak-anak,[5] dan juga dipakai oleh yang berhaluan liberal, feminis dan Yahudi pembaruan.[6]"
6,,Yaman,"Biasanya beludru hitam dengan 1-2 cm. Jalur emboider sekitar tepi memiliki berwarna multi geometris, bunga atau pola paisley."
