,T a m b o r a,a r t i,T a m b o r a . 1,a r t i . 1
0,seena (AN?),'satu',maimpo,'kaki'
1,kálae,'dua',kiro,'darah'
2,nih,'tiga',kóngkong,'siang'
3,kude-in,'empat',tádung,'malam'
4,kutélin,'lima',kidjum,'tidur'
5,báta-in,'enam',sílam,'mati'
6,kúmba,'tujuh',si-yang (Z: Malay?),'putih'
7,koného,'delapan',naido,'hitam'
8,láli,'sembilan',sámar,'baik'
9,saróne,'sepuluh',gonóre,'buruk'
10,sisaróne,'20',maing'aing,'api'
11,simári,'seratus',naino (Z: Madura),'air'
12,doh (Bima),'orang',gónong (Z: Malay?),'tanah'
13,sia-in (Z: Sangar),'pria',ilah,'batu'
14,óna-yit,'wanita',kíwu,'babi'
15,homóri,'ayah',kilaíngkong,'burung'
16,yelai,'ibu',andik (Z: Javanese),'telur'
17,kokóre,'kepala',karáyi,'ikan'
18,saing'óre,'mata',ingkong,'matahari'
19,saing kóme,'hidung',mang'ong,'bulan'
20,búlu (Malay),'rambut',kingkong,'bintang'
21,sóntong,'gigi',mákan (Malay),'makan'
22,sumóre,'perut',hok-hok (Z: German?),'duduk'
23,taintu (Timor?),'tangan',moríhoh (Sanskrit?),'Tuhan'
