,D a s a r   s k a l a,D a s a r   s k a l a   r e l a t i f t e r h a d a p   1 2 C   =   1 2,D e v i a s i   r e l a t i f d a r i   s k a l a   1 2 C   =   1 2
0,Massa atom hidrogen = 1,"1,00794(7)","−0,788%"
1,Massa atom oksigen = 16,"15,9994(3)","+0,00375%"
2,Massa atom relatif 16O = 16,"15,9949146221(15)","+0,0318%"
